# 基线模型: Qwen2.5-3B  GSM8K baseline = 16.2%
# 硬件: 1×A100 80GB  框架: veRL (GRPO)  训练步数: 15-30 steps
实验编号,实验名称,子实验,GSM8K初始,GSM8K最终,状态,失败原因/备注
01,PPO vs GRPO,exp01_grpo,16.2%,81.7%,OK,GRPO 跑通
01,PPO vs GRPO,exp01_ppo,16.2%,-,OOM,PPO 需要 actor+critic 双模型 1×A100 不够
02,FP8 量化,exp02_bf16,16.2%,82.3%,OK,BF16 基线跑通
02,FP8 量化,exp02_fp8_rollout,-,-,FAILED,"ValueError: Unknown dtype: fp8 veRL 不支持 FP8"
03,数据规模缩放,exp03_data_100,16.2%,76.5%,OK,
03,数据规模缩放,exp03_data_500,16.2%,76.0%,OK,
03,数据规模缩放,exp03_data_1000,16.2%,80.5%,OK,最佳性价比
03,数据规模缩放,exp03_data_2000,16.2%,78.3%,OK,
03,数据规模缩放,exp03_data_5000,16.2%,80.5%,OK,
03,数据规模缩放,exp03_data_full,16.2%,80.5%,OK,1000 条后收益递减
04,跨任务迁移,exp04_gsm8k_direct,16.2%,82.0%,OK,GSM8K 直接训练
04,跨任务迁移,exp04_countdown,-,-,FAILED,Countdown 数据集不兼容
05,奖励函数对比,exp05_reward_binary,16.2%,83.7%,OK,最佳奖励函数
05,奖励函数对比,exp05_reward_partial,16.2%,81.3%,OK,
05,奖励函数对比,exp05_reward_process,16.2%,80.7%,OK,
06,模型规模缩放,exp06_0.5B,0.7%,31.2%,OK,太小学不好
06,模型规模缩放,exp06_1.5B,1.9%,68.7%,OK,有一定能力
06,模型规模缩放,exp06_3B,16.2%,82.9%,OK,最佳规模
07,KL 敏感性,exp07_grpo_kl0p001,16.2%,81.7%,OK,
07,KL 敏感性,exp07_grpo_kl0p01,16.2%,82.6%,OK,略好
08,Rollout N,exp08_n2,16.2%,83.5%,OK,
08,Rollout N,exp08_n4,16.2%,82.2%,OK,最佳性价比
08,Rollout N,exp08_n8,16.2%,83.7%,OK,n=8 最佳
08,Rollout N,exp08_n16,-,-,TIMEOUT,"5h 不够 n=16 15步约需3.5h"
09,温度,exp09_temp0p6,16.2%,80.6%,OK,
09,温度,exp09_temp0p8,16.2%,83.3%,OK,最佳温度
09,温度,exp09_temp1p0,16.2%,82.1%,OK,
09,温度,exp09_temp1p2,16.2%,75.9%,OK,"T=1.2 高熵 收敛差 clip_ratio=0.7"
10,LoRA vs Full,exp10_full,-,-,CANCELLED,"verl-agent2 极慢 2.5h 仍在初始化 被 preemption 取消"
10,LoRA vs Full,exp10_lora_r8,-,-,CANCELLED,同上 exp10_full 未完成
11,综合缩放,exp11_0.5B_d1000,0.7%,0.0%,OK,0.5B 模型无法学会
11,综合缩放,exp11_3B_dfull,16.2%,81.3%,OK,
12,Pass@K,exp12_grpo,16.2%,81.7%,OK,"save_freq=-1 修复 OOM 30步完整跑通"
13,1-shot RLVR,exp13_1shot,1.9%,1.9%,OK,1.5B 模型 1 条数据学不会
13,1-shot RLVR,exp13_2shot,1.9%,1.9%,OK,1.5B 2条数据同样
13,1-shot RLVR,exp13_5shot,1.9%,1.9%,OK,
13,1-shot RLVR,exp13_10shot,1.9%,1.9%,OK,
13,1-shot RLVR,exp13_50shot,1.9%,1.9%,OK,
13,1-shot RLVR,exp13_100shot,1.9%,1.9%,OK,1.5B+30步 不足以从少样本学会
14,蒸馏 vs RL,exp14_grpo_3B,16.2%,82.3%,OK,GRPO RL 跑通
14,蒸馏 vs RL,exp14_distill_3B,-,-,FAILED,"SFT TypeError: batch contains NoneType 预处理数据中有空值"
15,自我反思,exp15_base,16.2%,81.5%,OK,
16,多模态 fallback,exp16_text_fallback,16.2%,82.3%,OK,
17,多轮对话,exp17_single_turn,16.2%,81.6%,OK,
17,多轮对话,exp17_multi_turn,16.2%,80.1%,OK,
18,能力保留,exp18_grpo,16.2%,81.3%,OK,"save_freq=-1 修复OOM step10:71.2% step20:81.3% step30:80.6%"
19,成本分析 (PPO),exp19_tinyzero_ppo,-,-,FAILED,"NotImplementedError PPO validate 方法未实现"
20,思维链保留,exp20_think_train,16.2%,82.0%,OK,
21,奖励思考风格,exp21_result_only,16.2%,82.1%,OK,
21,奖励思考风格,exp21_step_bonus,16.2%,81.4%,OK,
